name	percent_inliers	min_val	lower_bound	median	upper_bound	max_val
RIDAGEYR	1.0	0.0	0.0	31.0	80.0	80.0
INDFMPIR	0.9886576093730525	0.0	0.01	1.92	5.0	5.0
outcome_s	0.9966531197704996	0.0	1.0	3.0	15.0	25.0
URXUMA	0.9939727463312369	0.21	0.4	9.3	1327.0	14040.0
URXUMS	0.9939727463312369	0.21	0.4	9.3	1327.0	14040.0
URXUCR	0.9921383647798742	3.54	3.54	109.0	422.0	621.0
URXCRS	0.9929245283018868	312.9	312.9	9635.6	37746.8	54896.4
URDACT	0.9918763102725366	0.27	1.4	8.28	1142.37	11676.92
WTFOL2YR	0.9933228593872742	0.0	0.0	38413.008539999995	491368.1384	903457.1533
URXVOL1	0.9927972760607648	0.0	3.0	83.0	384.0	455.0
URDFLOW1	0.992467043314501	0.0	0.018	0.61	5.097	53.0
URDTIME1	0.9945214860469098	2.0	22.0	125.0	776.0	1406.0
LBXWBCSI	0.9925611052072264	1.9	1.9	7.0	14.1	400.0
LBXLYPCT	0.9925561611059418	4.4	9.9	33.1	69.4	89.7
LBXMOPCT	0.9914927555496478	0.7	1.9	7.9	15.3	57.2
LBXNEPCT	0.9930878638840888	8.4	19.1	55.1	82.1	92.8
LBXEOPCT	0.9933537152731623	0.0	0.0	2.4	13.1	29.1
LBXBAPCT	0.9888342416589126	0.1	0.1	0.7	1.7	4.8
LBDLYMNO	0.9888342416589126	0.4	0.4	2.3	5.7	358.8
LBDMONO	0.991359829855111	0.1	0.1	0.6	1.2	6.7
LBDNENO	0.9914927555496478	0.4	0.4	3.8	9.4	35.2
LBDEONO	0.9940183437458461	0.0	0.0	0.2	1.0	3.2
LBXRBCSI	0.9910998937300743	2.32	3.35	4.71	6.19	7.84
LBXHGB	0.9884431455897981	6.4	9.7	13.7	18.1	19.9
LBXHCT	0.9935220391494156	0.011	0.015	0.28	285.0	1520.0
LBXMCVSI	0.9936238044633369	35.4	61.7	87.1	103.0	114.6
LBXMCHSI	0.9922954303931987	12.4	20.2	29.3	37.7	39.2
LBXMC	0.9889744952178533	25.2	31.0	33.6	36.2	38.3
